Date,Location,Level,Type,Title/Description ,Comments,Travel restrictions,State of Emergency,School Closure ,Work Closure,Business closing,Gatherings,COVID/Antibody Testing,Safer at Home,Reopening,Relief/Funding/Grant,Masks,Other,Economics
3/6/2020,Alabama,State,Announcement,Formation of COVID-19 Task Force ,,,,,,,,,,,,,1,
3/10/2020,Alabama,State,Announcement,State employees must notify of recent travel,if they have traveled in areas affected by coronaviurs,1,,,,,,,,,,,,
3/13/2020,Alabama,State,Issued,State of Emergency,,,1,,,,,,,,,,,
3/14/2020,Alabama,State,Ordered,Public school closure,for 2.5 weeks,,,1,,,,,,,,,,
3/15/2020,Alabama,State,Authorization,Changing work schedules,directors of all state agencies change schedules for employees,,,,1,,,,,,,,,
3/15/2020,Alabama,State,Authorization,Work remote,"allowing for state agencies to implement working from home, more flexible schedules, social distancing",,,,1,,,,,,,,,
3/16/2020,Alabama,State,Announcement,"State employees, file for unemployment benefits",allowing state employees who are unable to work due to COVID-19 to file for unemployment benefits,,,1,,,,,,,,,,
3/17/2020,Alabama,State,Announcement,State financial system,emphasizing the measures that are being taken by state financial regulators ,,,,,,,,,,,,1,
3/17/2020,Alabama,State,Issued,No dining in restauarant/bars,for one week,,,,,1,,,,,,,,
3/18/2020,Alabama,State,Announcement,Primary runoff election delayed,until July 14,,,,,,,,,,,,1,
3/19/2020,Alabama,State,Issued,Statewide Health Order,"no gatherings of 25+, maintain 6-foot distance, no dining in person (rest/bar), beaches closed, preschools/childcare centers closed, no visiting nursing homes, elective dental/medical procedures delayed ",,,,,,1,,,,,,,
3/20/2020,Alabama,State,Issued,Supplemental Emergency Proclomation,expedite movement of vehicles with neccessary supplies,,1,,,,,,,,,,,
3/20/2020,Alabama,State,Authorization,National Guard,activating 100 guardsmen,,1,,,,,,,,,,,
3/21/2020,Alabama,State,Announcement,Small businessed are eligible for assistance,,,,,,1,,,,,,,,
3/23/2020,Alabama,State,Announcement,State income tax filing deadline extended,to July 15,,,,,,,,,,,,1,
3/23/2020,Alabama,State,Announcement,Approval of Section 1135,"Medicaid waiver, enabling flexibility in enrollment ",,,,,,,,,,,,1,
3/26/2020,Alabama,State,Issued,Flexibility for unemployment insurance claims,"waiving work search, wait week, and good cause prvisions, waiving all chargers against employers who file partial employment for their employees",,,,1,,,,,,,,,
3/26/2020,Alabama,State,Announcement,Fourth supplemental state of emergency ,"alternate methods for school instruction, extension of license period, videoconf. notaries, electronic records/signatures for state documents, custodial arrests",,1,,,,,,,,,,,
3/27/2020,Alabama,State,Ordered,"Suspending gatherings of 10+, elective dental/medical/surgical procedures, prohibiting visitors to hospitals, closure for all instutions/schools public and private",,,,,,,1,,,,,,,
3/31/2020,Alabama,State,Announcement,Approval of Child Nutrition Program waiver to release restrictions,,,,,,,,,,,,,1,
4/2/2020,Alabama,State,Issued,5th supplemental State of Emergency ,Adopt measures to expand capacity of healthcare workforce,,1,,,,,,,,,,,
4/3/2020,Alabama,State,Issued,Stay-at-home order statewide,,,,,,,,,,,,,1,
4/3/2020,Alabama,State,Issued,Sixth supplemental state of emergency ,cease enforcement of any order that would deplace a person from their residence,,1,,,,,,,,,,,
4/3/2020,Alabama,State,Announcement,Office of Colunteer Services partnershup with Alabama DEpartment of Public Health to lauch ReadyOp - program to collect volunteers,,,,,,,,,,,,,1,
4/6/2020,Alabama,State,Announcement,Creation of altogetheralabama.org,,,,,,,,,,,,,1,
4/7/2020,Alabama,State,Announcement,"""Ribbons of Hope"" campaign ",,,,,,,,,,,,,1,
4/7/2020,Alabama,State,Announcement,Launch of job-matching site targeted for those who have lost their jobs,,,,,1,,,,,,,,,
